,112學年度第一學期 課程時間規劃,,,,,,,,,,,顏色註記
,高二,,,,,,,,,,,
,,,,,,,,,,,,
,第一週,8月28日,,8月29日,8月30日,8月31日,,9月1日,,9月2日,9月3日,實體課
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,線上同步課
,1,,,,,,,,,,t,全校活動
,2,,,,,,,,,,,
,3,,,,,,,"跨校網路選修
(課前準備作業)",,,,
,4,,,,,,,"跨校網路選修
(課前準備作業)",,,,
,5,,,,,,,,,,,
,6,,,,,,,,,,,
,7,,,,,,,,,,,
,8,,,,,,,,,,,
,備註,暑假,,暑假,開學日,,,,,,,
,,,,,,,,,,,,
,第二週,9月4日,,9月5日,9月6日,9月7日,,9月8日,,9月9日,9月10日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,,,全民國防,自我覺察(二),,,藝術生活進階(一),,,,
,2,,,全民國防,自我覺察(二),,,藝術生活進階(一),,,,
,3,,,,自我覺察(二),,,"跨校網路選修
(課程正式開始)",,,,
,4,,,,,,,"跨校網路選修
(課程正式開始)",,,,
,5,公民行動(一),,,身體素養(三),,,數學(三)數A,,,,
,6,SDGs議題探究(一),,,身體素養(三),,,公民與社會(三),,,,
,7,SDGs議題探究(一),,,身體素養(三),,,公民與社會(三),,,,
,8,,,,,,,,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第三週,9月11日,,9月12日,9月13日,9月14日,,9月15日,,9月16日,9月17日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,資訊科技(二),化學,,藝術生活進階(一),人工智慧導論,,,
,2,數學(三)數A,數學(三)數B,全民國防,資訊科技(二),化學,,藝術生活進階(一),競賽解題策略與技巧,,,
,3,國語文(三)A,,國文進階(一),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,4,國語文(三)A,,國文進階(一),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,5,公民行動(一),,國語文(三)B,英語文(三)B,地球科,學 [1],英語文(三)B,Gran Fondo Taiwan,,,
,6,公民行動(一),,國語文(三)B,英語文(三)B,地球科,學 [2],英語文(三)B,Gran Fondo Taiwan,,,
,7,公民行動(一),,地理(三),數學(三)數B,地球科學 [3],,英語文(三)A,,,,
,8,公民行動(一),,地理(三),數學(三)數B,,,英語文(三)A,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第四週,9月18日,,9月19日,9月20日,9月21日,,9月22日,,9月23日,9月24日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,自我覺察(二),科技進階(一),,公民與社會(三),人工智慧導論,數學(三)數A、數B,,
,2,數學(三)數A,數學(三)數B,全民國防,自我覺察(二),科技進階(一),,公民與社會(三),競賽解題策略與技,數學(三)數A、數B,,
,3,國語文(三)A,,歷史(三),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),國語文(三)A,,
,4,國語文(三)A,,歷史(三),物理,英語文(三)A,,,樂曲分析(一),國語文(三)A,,
,5,SDGs議題探究(一),,國語文(三)B,英語文(三)B,,,英語文(三)B,,學校日,,
,6,SDGs議題探究(一),,國語文(三)B,英語文(三)B,,,英語文(三)B,,學校日,,
,7,SDGs議題探究(一),,地理(三),,,,英語文(三)A,,學校日,,
,8,SDGs議題探究(一),,地理(三),,補強數學(三),,英語文(三)A,,學校日,,
,備註,,,,,,,,,補班補課，補10/9,,
,,,,,,,,,,,,
,第五週,9月25日,,9月26日,9月27日,9月28日,,9月29日,,9月30日,10月1日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,自我覺察(二),化學,,,,,,
,2,數學(三)數A,數學(三)數B,全民國防,自我覺察(二),化學,,,,,,
,3,國語文(三)A,,國文進階(一),物理,英語文(三)A,用3R科技UP你的表達力,,,,,
,4,國語文(三)A,,國文進階(一),物理,英語文(三)B,,,,,,
,5,公民行動(一),,國語文(三)B,全校活動,生物,,,,,,
,6,公民行動(一),,國語文(三)B,全校活動,生物,,,,,,
,7,公民行動(一),,英語文(三)A,全校活動,,,,,,,
,8,公民行動(一),,英語文(三)B,全校活動,補強數學(三),,,,,,
,備註,,,,,,,中秋節,,,,
,,,,,,,,,,,,
,第六週,10月2日,,10月3日,10月4日,10月5日,,10月6日,,10月7日,10月8日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,自我覺察(二),科技進階(一),,公民與社會(三),人工智慧導論,,,
,2,數學(三)數A,數學(三)數B,全民國防,自我覺察(二),科技進階(一),,公民與社會(三),競賽解題策略與技巧,,,
,3,國語文(三)A,,,自我覺察(二),英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,4,國語文(三)A,,,,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,5,公民行動(一),,國語文(三)B,,地球科學 [4],,英語文(三)B,Gran Fondo Taiwan,,,
,6,公民行動(一),,國語文(三)B,,地球科學 [5],,英語文(三)B,Gran Fondo Taiwan,,,
,7,公民行動(一),,地理(三),,地球科學 [6],,,,,,
,8,公民行動(一),,地理(三),,,,,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第七週,10月9日,,10月10日,10月11日,10月12日,,10月13日,,10月14日,10月15日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,,,,身體素養(三),化學,,公民與社會(三),人工智慧導論,,,
,2,,,,身體素養(三),化學,,公民與社會(三),,,,
,3,,,,物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,,,,
,4,,,,物理,,用3R科技UP你的表達力,跨校網路選修,,,,
,5,,,,,地球科學 [7],,英語文(三)B,Gran Fondo Taiwan,,,
,6,,,,,地球科學,,國文進階(一),,,,
,7,,,,數學(三)數B,地球科學,,國文進階(一),,,,
,8,,,,數學(三)數B,,,,,,,
,備註,國慶日連假,,國慶日連假,,地球科學校外教學,,,,,,
,,,,,,,,,,,,
,第八週,10月16日,,10月17日,10月18日,10月19日,,10月20日,,10月21日,10月22日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,自我覺察(三),,,藝術生活進階(一),人工智慧導論,,,
,2,數學(三)數A,數學(三)數B,全民國防,自我覺察(三),英語文(三)A,,藝術生活進階(一),競賽解題策略與技巧,,,
,3,,,歷史(三),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,4,,,歷史(三),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,5,SDGs議題探究(一),,國語文(三)B,,生物,,英語文(三)B,,,,
,6,SDGs議題探究(一),,國語文(三)B,,生物,,英語文(三)B,,,,
,7,SDGs議題探究(一),,英語文(三)A,,,,英語文(三)B,,,,
,8,SDGs議題探究(一),,英語文(三)B,,補強數學(三),,,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第九週,10月23日,,10月24日,10月25日,10月26日,,10月27日,,10月28日,10月29日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,歷史(三),身體素養(三),化學,,藝術生活進階(一),人工智慧導論,,,
,2,數學(三)數A,數學(三)數B,歷史(三),身體素養(三),化學,,藝術生活進階(一),競賽解題策略與技巧,,,
,3,國語文(三)A,,國文進階(一),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,4,國語文(三)A,,國文進階(一),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,5,公民行動(一),,地理(三),全校活動,地球科學 [8],,英語文(三)B,,,,
,6,公民行動(一),,地理(三),全校活動,地球科學,,英語文(三)B,,,,
,7,公民行動(一),,地理(三),全校活動,地球科學,,數學(三)數B,,,,
,8,自導式歷史學習方法,,地理(三),全校活動,,,數學(三)數B,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第十週,10月30日,,10月31日,11月1日,11月2日,,11月3日,,11月4日,11月5日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,資訊科技(二),科技進階(一),,藝術生活進階(一),人工智慧導論,,,
,2,數學(三)數A,數學(三)數B,全民國防,資訊科技(二),科技進階(一),,藝術生活進階(一),競賽解題策略與技巧,,,
,3,國語文,(三)A,全民國防,物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,4,國語文,(三)A,全民國防,物理,,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,5,SDGs議題探究(一),,國語文(三)B,,地球科學 [9],,英語文(三)B,Gran Fondo Taiwan,,,
,6,SDGs議題探究(一),,國語文(三)B,,地球科學,,Gran Fondo Taiwan(一),,,,
,7,SDGs議題探究(一),,英語文(三)A,,地球科學,,Gran Fondo Taiwan(一),,,,
,8,SDGs議題探究(一),,英語文(三)B,,,,,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第十一週,11月6日,,11月7日,11月8日,11月9日,,11月10日,,11月11日,11月12日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,國語文(三)B,自我覺察(二),科技進階(一),,公民與社會(三),人工智慧導論,,,
,2,數學(三)數A,數學(三)數B,國語文(三)B,自我覺察(二),科技進階(一),,公民與社會(三),競賽解題策略與技巧,,,
,3,國語文(三)A,,國文進階(一),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,,,,
,4,國語文(三)A,,國文進階(一),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,,,,
,5,,,全民國防,,生物,,英語文(三)B,,,,
,6,,,全民國防,,生物,,英語文(三)B,,,,
,7,,,全民國防,數學(三)數B,,,英語文(三)A,,,,
,8,自導式歷史學習方法,,全民國防,數學(三)數B,補強數學(三),,,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第十二週,11月13日,,11月14日,11月15日,11月16日,,11月17日,,11月18日,11月19日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,身體素養(三),化學,,,,,,
,2,數學(三)數A,數學(三)數B,全民國防,身體素養(三),化學,,,,,,
,3,國語文,(三)A,國文進階(一),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,4,國語文,(三)A,國文進階(一),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,5,公民與社會(三),,國語文(三)B,,生物,,英語文(三)B,,,,
,6,公民與社會(三),,國語文(三)B,,生物,,英語文(三)B,,,,
,7,公民與社會(三),,地理(三),,英語文(三)B,,,,,,
,8,公民與社會(三),,地理(三),,補強數學(三),,,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第十三週,11月20日,,11月21日,11月22日,11月23日,,11月24日,,11月25日,11月26日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,資訊科技(二),化學,,,人工智慧導論,,,
,2,數學(三)數A,數學(三)數B,全民國防,資訊科技(二),化學,,數學,競賽解題策略與技巧,,,
,3,國語文,(三)A,歷史(三),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,,,,
,4,國語文,(三)A,歷史(三),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,,,,
,5,SDGs議題,探究(一),國語文(三)B,全校活動,,,英語文(三)B,,,,
,6,SDGs議題,探究(一),國語文(三)B,全校活動,,,英語文(三)B,,,,
,7,,,,全校活動,,,,,,,
,8,自導式歷史學習方法,,,全校活動,補強數學(三),,,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第十四週,11月27日,,11月28日,11月29日,11月30日,,12月1日,,12月2日,12月3日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,自我覺察(二),化學,,公民與社會(三),人工智慧導論,,,
,2,數學(三)數A,數學(三)數B,全民國防,自我覺察(二),化學,,公民與社會(三),,,,
,3,國語文,(三)A,國文進階(一),自我覺察(二),英語文(三)A,用3R科技UP你的表達力,跨校網路選修,,,,
,4,國語文,(三)A,國文進階(一),,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,,,,
,5,公民行動(一),,國語文(三)B,,地球科學 [10],,英語文(三)B,,,,
,6,公民行動(一),,國語文(三)B,,地球科學,,英語文(三)B,,,,
,7,英語文(三)B,,國語文(三)B,,地球科學,,英語文(三)A,,,,
,8,英語文(三)B,,國語文(三)B,,,,英語文(三)A,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第十五週,12月4日,,12月5日,12月6日,12月7日,,12月8日,,12月9日,12月10日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,身體素養(三),科技進階(一),,藝術生活進階(一),人工智慧導論,,,
,2,數學(三)數A,數學(三)數B,全民國防,身體素養(三),科技進階(一),,藝術生活進階(一),競賽解題策略與技巧,,,
,3,國語文(三)A,,歷史(三),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,,,,
,4,國語文(三)A,,歷史(三),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,,,,
,5,,,國語文(三)B,,生物,,英語文(三)B,Gran Fondo Taiwan,,,
,6,,,國語文(三)B,,生物,,英語文(三)B,Gran Fondo Taiwan,,,
,7,,,地理(三),數學(三)數B,,,,,,,
,8,自導式歷史學習方法,,,數學(三)數B,補強數學(三),,,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第十六週,12月11日,,12月12日,12月13日,12月14日,,12月15日,,12月16日,12月17日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,身體素養(三),科技進階(一),,公民與社會(三),人工智慧導論,,,
,2,數學(三)數A,數學(三)數B,全民國防,身體素養(三),科技進階(一),,公民與社會(三),,,,
,3,國語文(三)A,,歷史(三),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,4,國語文(三)A,,歷史(三),物理,,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,5,,,國語文(三)B,國語文(三)A,地球科學 [11],,英語文(三)B,,,,
,6,,,國語文(三)B,國語文(三)A,地球科學,,,,,,
,7,,,地理(三),,地球科學,,,,,,
,8,自導式歷史學習方法,,地理(三),,,,,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第十七週,12月18日,,12月19日,12月20日,12月21日,,12月22日,,12月23日,12月24日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,身體素養(三),科技進階(一),,,人工智慧導論,,,
,2,數學(三)數A,數學(三)數B,全民國防,身體素養(三),科技進階(一),,數學,競賽解題策略與技巧,,,
,3,國語文(三)A,,歷史(三),,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,4,國語文(三)A,,歷史(三),自我覺察(二),英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,5,,,國語文(三)B,全校活動,地球科學 [12],,英語文(三)B,,,,
,6,,,國語文(三)B,全校活動,,,英語文(三)B,,,,
,7,,,,全校活動,,,數學(三)數B,,,,
,8,自導式歷史學習方法,,,全校活動,補強數學(三),,數學(三)數B,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第十八週,12月25日,,12月26日,12月27日,12月28日,,12月29日,,12月30日,12月31日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,身體素養(三),科技進階(一),,,人工智慧導論,,,
,2,數學(三)數A,數學(三)數B,全民國防,身體素養(三),科技進階(一),,數學,競賽解題策略與技巧,,,
,3,國語文(三)A,,歷史(三),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,4,國語文(三)A,,歷史(三),物理,,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,5,SDGs議題探究(一),,國語文(三)B,,地球科學,,英語文(三)B,Gran Fondo Taiwan,,,
,6,SDGs議題探究(一),,國語文(三)B,,地球科學,,Gran Fondo Taiwan(一),,,,
,7,SDGs議題探究(一),,英語文(三)A,,,,Gran Fondo Taiwan(一),,,,
,8,SDGs議題探究(一),,英語文(三)B,,補強數學(三),,,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,第十九週,1月1日,,1月2日,1月3日,1月4日,,1月5日,,1月6日,1月7日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,,,全民國防,,科技進階(一),,人工智慧導論,,,,
,2,,,全民國防,,科技進階(一),,數學競賽解題策略與技巧,,,,
,3,,,國文進階(一),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,4,,,國文進階(一),物理,英語文(三)A,用3R科技UP你的表達力,跨校網路選修,樂曲分析(一),,,
,5,,,國語文(三)B,,生物,,英語文(三)B,,,,
,6,,,國語文(三)B,,生物,,,,,,
,7,,,英語文(三)B,數學(三)數B,化學,,英語文(三)A,,,,
,8,,,英語文(三)B,數學(三)數B,化學,,,,,,
,備註,元旦,,,,,,,,,,
,,,,,,,,,,,,
,第二十週,1月8日,,1月9日,1月10日,1月11日,,1月12日,,1月13日,1月14日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,全民國防,資訊科技(二),科技進階(一),,藝術生活進階(一),,,,
,2,數學(三)數A,數學(三)數B,全民國防,資訊科技(二),科技進階(一),,藝術生活進階(一),,,,
,3,國語文(三)A,,國文進階(一),物理,英語文(三)A,用3R科技UP你的表達力,"跨校網路選修
(最後一次上課)",樂曲分析(一),,,
,4,國語文(三)A,,國文進階(一),物理,英語文(三)A,用3R科技UP你的表達力,"跨校網路選修
(最後一次上課)",樂曲分析(一),,,
,5,公民行動(一),,地理(三),英語文(三)B,生物,,英語文(三)B,,,,
,6,公民行動(一),,地理(三),英語文(三)B,生物,,英語文(三)B,,,,
,7,公民行動(一),,地理(三),國語文(三)A,化學,,英語文(三)A,,,,
,8,公民行動(一),,,國語文(三)A,化學,,英語文(三)A,,,,
,備註,,,,,,,,,,,
,,,,,,,,,,,,
,二十一週,1月15日,,1月16日,1月17日,1月18日,,1月19日,,1月20日,1月21日,
,,星期一,,星期二,星期三,星期四,,星期五,,星期六,星期日,
,1,數學(三)數A,數學(三)數B,,,,,休業式,,,,
,2,數學(三)數A,數學(三)數B,,,,,休業式,,,,
,3,,,歷史(三),數學(三)數B,,,休業式,,,,
,4,,,歷史(三),數學(三)數B,,,休業式,,,,
,5,,,國語文(三)B,,,,休業式,,,,
,6,,,國語文(三)B,,,,休業式,,,,
,7,自導式歷史學習方法,,,,,,休業式,,,,
,8,,,,,,,休業式,,,,
,備註,準備學習成果展，學生整週返校,,,,,,,,,寒假開始,
"[1] 中崙高中
[2] 中崙高中
[3] 中崙高中
[4] 中崙高中
[5] 中崙高中
[6] 中崙高中
[7] 中崙高中
[8] 中崙高中
[9] 中崙高中
[10] 中崙高中
[11] 中崙高中
[12] 吉林基地",,,,,,,,,,,,
